id_localizacao,rua,numero,bairro,cidade,estado,pais
70,Andrew Island,100,land,Weaverfurt,Nevada,Central African Republic
71,Williams Mall,987,fort,Port Victoria,New Hampshire,Northern Mariana Islands
72,Robinson Village,52,shire,East Michele,Rhode Island,Mauritius
73,York Throughway,53,land,Michellestad,Tennessee,Martinique
74,Weber Plaza,903,mouth,Lambertfurt,Pennsylvania,Argentina
75,Carol Orchard,631,shire,Emilymouth,South Dakota,Spain
76,Hartman Mountain,860,side,East Anthony,Washington,Singapore
77,Kirby Green,322,haven,North Jessica,Wisconsin,Mexico
78,Pierce Rest,383,haven,Howardchester,Utah,Peru
79,Spencer Walks,946,town,Port Mark,Georgia,South Africa
80,Courtney Lodge,579,land,Janicemouth,Alabama,Puerto Rico
81,Hooper Station,340,ville,Dannymouth,Wyoming,British Indian Ocean Territory (Chagos Archipelago)
82,Veronica Radial,494,haven,Lake Kylefurt,Ohio,Cook Islands
83,Vanessa Knoll,471,town,Thomasport,Nebraska,India
84,Tammy Mall,615,stad,Ryanfort,Louisiana,Italy
85,Fischer Islands,806,view,East Cameron,Maryland,South Africa
86,Edwards Mill,510,borough,Lake Elizabeth,Louisiana,New Zealand
87,Hall Canyon,822,stad,North Shariborough,Alabama,Saint Kitts and Nevis
88,Annette Fort,558,berg,Port Cindyborough,Georgia,Nigeria
89,Dakota River,976,ton,Gardnertown,Kansas,Gibraltar
90,Larry Vista,371,fort,South Richard,Arkansas,Puerto Rico
91,Morris Inlet,417,shire,North Michaelborough,Tennessee,Gambia
92,Wilson Mall,981,fort,North Susan,New Mexico,Germany
93,Thomas Valley,468,mouth,Lake Lisashire,Oregon,Cameroon
94,Rodriguez Drives,994,view,Lake Stephenport,Arkansas,Cayman Islands
95,Callahan Falls,282,furt,Thomaston,Maryland,Eritrea
96,Lopez Valleys,650,shire,South Ashley,North Dakota,Puerto Rico
97,Harris Brook,947,stad,Lake Charlesbury,Rhode Island,Norway
98,Michael Coves,523,furt,Stevemouth,Maryland,Cameroon
99,Brooke Knoll,873,mouth,Shawland,Illinois,Lithuania
100,Webb Well,988,stad,Ortizchester,Michigan,Isle of Man
101,Hernandez Branch,587,view,Wileyview,California,El Salvador
102,Hall Unions,231,ville,Bensonstad,Rhode Island,Benin
103,Harris Islands,553,ville,West Bryan,Connecticut,French Polynesia
104,Cassandra Lights,362,land,Maciasmouth,Wisconsin,Malawi
105,Hernandez Streets,254,mouth,New Carlstad,South Dakota,Sweden
106,Walker Forges,692,fort,Port Kaitlinborough,Oregon,Guinea-Bissau
107,Robert Green,746,ton,New Bethany,Missouri,Barbados
108,Andres Crossroad,821,mouth,East David,Arkansas,Swaziland
109,Harding Mountains,737,port,Karenstad,Minnesota,Spain
110,Kelly Curve,229,ville,Wilsonfurt,Tennessee,Guinea
111,Mccarthy Well,486,ton,Ronaldland,Hawaii,Spain
112,Nelson Villages,615,bury,Sandrastad,Mississippi,French Guiana
113,Carrie Orchard,821,fort,West Eric,Maine,Togo
114,Ellison Vista,437,land,Aliberg,North Dakota,Eritrea
115,Jacob Plaza,430,haven,North Dennisborough,Vermont,Kiribati
116,Kayla Fords,538,port,Hartmanbury,Washington,Central African Republic
117,Kevin Port,83,ville,South Susanmouth,California,Benin
118,Vanessa Meadow,965,view,Blakeberg,New Jersey,Belarus
119,Sandoval Path,501,fort,West Douglas,Virginia,Kiribati
120,Mary Plaza,727,stad,Baileyfort,New Mexico,Uruguay
121,Maureen Freeway,276,view,West Deniseland,South Carolina,Guinea-Bissau
122,Jennifer Crest,330,ton,South Kathleenfurt,Hawaii,New Zealand
123,Christina Loaf,677,ville,Thomasview,New Mexico,Iraq
124,Diaz Rest,822,haven,Nelsonborough,Alabama,British Virgin Islands
125,Schwartz Streets,653,berg,New Matthew,Georgia,Slovakia (Slovak Republic)
126,Robert Prairie,717,borough,Lake Jessicaberg,Montana,Mauritania
127,Amber Road,807,land,New Jacobton,Montana,Maldives
128,Walsh Park,108,town,West Kelseyfort,Maryland,Guernsey
129,Richards Tunnel,73,chester,Lake Rachel,Florida,Malta
130,Jackson Summit,101,chester,West Calvinview,Ohio,Mauritania
131,Heather Neck,824,stad,New Heathershire,Washington,Tanzania
132,Williams Locks,590,mouth,Hillborough,Georgia,Senegal
133,Ross Point,678,side,Lauraside,Delaware,Lithuania
134,Hutchinson Cape,628,port,West Matthewburgh,Washington,Swaziland
135,Keith Throughway,402,side,Lake Dawnview,Nebraska,Singapore
136,Nancy Locks,957,view,New Alex,Washington,Congo
137,Myers Manors,881,borough,Port Jonmouth,Florida,Guatemala
138,Gonzales Rest,490,town,East Jordan,Iowa,Macedonia
139,Figueroa Light,347,side,Bergfurt,Kentucky,Tanzania
140,Kim Creek,418,stad,Karenmouth,Nevada,Cayman Islands
141,Nicole Summit,534,ton,Cummingsside,Indiana,Saint Helena
142,Vega Courts,729,port,Lake Christophertown,Illinois,Equatorial Guinea
143,Marquez Spurs,800,mouth,Simmonstown,Vermont,Eritrea
144,Hannah Motorway,449,furt,Warnershire,Utah,Bahamas
145,David Unions,654,bury,West Elizabeth,California,Algeria
146,Jennifer Cliffs,40,berg,Lake Sierra,Hawaii,Guam
147,Brian Bypass,266,haven,Aaronstad,Washington,Central African Republic
148,Alexa Skyway,281,fort,Lake Rachel,Missouri,Tonga
149,David Rue,992,chester,East Heather,Utah,Heard Island and McDonald Islands
150,Susan Locks,639,stad,Christopherland,Wyoming,Bhutan
151,Osborn Passage,85,chester,South Jasmine,Maryland,Christmas Island
152,Thomas Cliff,559,chester,Gonzalezbury,Kansas,Senegal
153,Nelson Walk,258,furt,South Thomas,Oregon,Macao
154,Gregory Lane,455,view,Stacytown,Arkansas,Samoa
155,Conway Trail,925,furt,Mckinneychester,Arizona,Micronesia
156,Haynes Keys,695,port,East Jessicamouth,Massachusetts,Vietnam
157,Hall Drive,751,burgh,Bradhaven,Maryland,Guyana
158,Rita Valley,925,bury,North Emily,Mississippi,Saint Vincent and the Grenadines
159,Brown Row,168,haven,Williamsborough,Wyoming,Colombia
160,Emily Meadows,841,town,Snydertown,Missouri,Pakistan
161,Lamb Glens,796,furt,Brownchester,West Virginia,Sao Tome and Principe
162,Adam Squares,554,chester,Clarkhaven,Connecticut,Martinique
163,Jones Flats,793,burgh,Port Michael,Maine,Albania
164,Felicia Island,280,port,Lake Jeromeside,New York,South Georgia and the South Sandwich Islands
165,Holly Mountains,453,mouth,South Claudiafort,Nebraska,Netherlands
166,Kathleen Port,626,mouth,South Henryville,Maryland,Papua New Guinea
167,Winters Drives,551,bury,West Kristin,Nevada,Taiwan
168,John Stream,351,port,South Marieside,New Hampshire,Botswana
169,Cantrell Ranch,714,side,Monroestad,Rhode Island,Sweden
170,Dodson Creek,160,port,New Ryan,Arkansas,Ireland
171,Simmons Harbor,927,town,Griffithmouth,Washington,Belarus
172,Michelle Mews,603,haven,Shannonchester,South Dakota,Brunei Darussalam
173,Kenneth Burg,156,burgh,Jamesland,West Virginia,Mozambique
174,Davis Freeway,270,mouth,New Robin,West Virginia,Central African Republic
175,Vasquez Unions,140,port,Debbiemouth,Oklahoma,Northern Mariana Islands
176,Jason Highway,339,berg,Johnmouth,Kansas,Peru
177,Stephanie Cliff,42,view,Codyhaven,California,Lebanon
178,Michael View,740,berg,New Sue,Washington,Bolivia
179,David Stravenue,831,mouth,Josephberg,Georgia,Korea
180,Williams Fields,112,haven,North Joshualand,West Virginia,Latvia
181,Bush Bridge,208,ton,Michaelchester,Wisconsin,Russian Federation
182,Mary Light,831,berg,Port Vanessachester,Nebraska,United Arab Emirates
183,Nguyen Inlet,776,haven,Newmanshire,Iowa,South Africa
184,Charles Falls,901,view,South Rachelstad,Wisconsin,Norfolk Island
185,Michael Shoals,646,town,East Tinaview,California,Belgium
186,Nathan Shoals,104,land,Lake Leahmouth,Vermont,Honduras
187,Summer Vista,363,borough,South Adam,Maine,Saint Martin
188,Nash Ports,643,shire,North Kenneth,New Hampshire,Liechtenstein
189,Owens Throughway,860,furt,Maureenside,Utah,Netherlands
190,Mejia Brooks,904,haven,Hartbury,Minnesota,Sierra Leone
191,Christian Meadows,891,mouth,Jensenfurt,North Carolina,Belarus
192,Ashley Junction,888,view,Shawville,Oregon,Congo
193,Jimenez Ferry,433,land,Adamsfurt,Arkansas,Vanuatu
194,Bishop Flats,34,haven,Jenniferchester,Rhode Island,Norfolk Island
195,Kimberly Lights,896,berg,Frenchhaven,Oregon,Sudan
196,Irwin Spurs,9,mouth,Jonesfort,California,Congo
197,Stephanie Row,874,burgh,Parkerchester,New Hampshire,Niger
198,Johnson Divide,809,shire,Castrofurt,Connecticut,Saint Barthelemy
199,Elijah Turnpike,30,view,South Shannon,Arkansas,Benin
200,Lee Flat,300,port,Ortizport,New Hampshire,Tuvalu
201,Olson Lake,604,chester,Brandonhaven,Vermont,China
202,Brown Streets,582,ton,Hughesfurt,Alabama,Western Sahara
203,Christina Brooks,785,land,North Timothybury,Tennessee,Lao People's Democratic Republic
204,Dunlap Road,908,burgh,Travisberg,New Mexico,Micronesia
205,Kimberly Pike,733,bury,New Jill,Virginia,Greece
206,Natalie Points,674,land,Port Michael,Louisiana,Nicaragua
207,Stephanie Points,428,berg,Leefurt,Michigan,Benin
208,Kelly Parkway,324,berg,Mortonport,Wyoming,Namibia
209,Merritt Underpass,50,burgh,Joshualand,Vermont,Antigua and Barbuda
210,Huynh Prairie,129,stad,Lake Melissa,Wisconsin,Libyan Arab Jamahiriya
211,Chapman Cliffs,836,ville,Hillburgh,Washington,India
212,Estrada Road,550,fort,West Jillberg,Montana,Isle of Man
213,William Haven,686,view,Webbport,Hawaii,Mali
214,Brown Avenue,449,mouth,Lake Katie,Iowa,Guam
215,Brett Villages,598,mouth,Mullinsmouth,South Carolina,Ecuador
216,Christensen Mountains,941,view,Port Whitneyside,Illinois,Timor-Leste
217,Abbott Mews,988,town,Lake Kimberlyville,North Carolina,San Marino
218,Christine Plain,34,side,Lake Jamesshire,Kentucky,Morocco
219,Brown Loop,487,shire,North Lancetown,West Virginia,Uzbekistan
220,Ellis Overpass,669,side,Gainestown,North Carolina,Eritrea
221,Underwood Terrace,999,fort,Joyport,Florida,Rwanda
222,Chad Views,742,town,Gordonside,Missouri,Botswana
223,Jennifer River,618,chester,Robertburgh,Minnesota,Cambodia
224,Chapman Ports,724,furt,Michaelport,Hawaii,Jersey
225,Michael Turnpike,610,land,Josephland,South Carolina,Falkland Islands (Malvinas)
226,Turner Parkways,156,side,Kruegerberg,Connecticut,Venezuela
227,Lauren Ville,95,borough,Parksland,Georgia,Turkmenistan
228,Cody Ports,702,borough,Lake Christineburgh,Vermont,Togo
229,Anita Manors,205,land,Brownport,Iowa,Cote d'Ivoire
230,Shawn Island,11,fort,Thompsonmouth,Kansas,Guinea-Bissau
231,Katrina Trace,376,town,South Michaelville,Hawaii,Malta
232,Mary Fields,166,ton,Port Brentfort,Vermont,Serbia
233,Ryan Via,171,fort,Brandtton,New Mexico,Slovakia (Slovak Republic)
234,Williams Village,226,haven,South Brandon,California,Macao
235,Long Village,630,borough,South Larryshire,Tennessee,China
236,Glover Ports,936,ville,West Lance,Kansas,Saint Kitts and Nevis
237,Neal Islands,152,mouth,Douglashaven,Louisiana,Kiribati
238,Henderson Radial,961,chester,Lake Ryan,Mississippi,Burkina Faso
239,Peterson Dale,965,borough,Alyssaton,Colorado,Faroe Islands
240,Hill Corner,322,mouth,Port Michaelton,Tennessee,Estonia
241,Kevin Crescent,524,chester,Weeksfort,Nebraska,Lithuania
242,Harris Forges,449,borough,Murrayhaven,Missouri,Heard Island and McDonald Islands
243,Jennifer Squares,205,town,South Robertmouth,Illinois,Croatia
244,Alexandria Loaf,170,town,Port Melissa,Alaska,Qatar
245,Sandy Rue,496,mouth,North Jasmine,South Carolina,Israel
246,Strickland Trail,167,view,Nunezbury,Oregon,Moldova
247,Rosales Haven,583,port,Floydchester,North Carolina,Niue
248,Pena Route,79,shire,Butlerhaven,Idaho,Benin
249,Booker Path,746,berg,South Denise,Nebraska,Spain
250,Tapia Corners,93,shire,Kaylamouth,Connecticut,Slovenia
251,Anna Street,553,fort,Port Lauraborough,Oregon,Sri Lanka
252,James Points,636,mouth,Courtneyfort,Maryland,Puerto Rico
253,Julie Road,866,chester,North Lisa,New Jersey,Monaco
254,Jones Field,614,view,Johnsonberg,New Jersey,Russian Federation
255,Hopkins Garden,443,chester,Crystalhaven,Pennsylvania,Kazakhstan
256,Watkins Centers,353,burgh,Edwardsfurt,Utah,Myanmar
257,Lynn Court,265,fort,Port Amy,Florida,Latvia
258,Roberts Keys,572,shire,Brianmouth,Kansas,Nauru
259,David Walk,814,chester,Gomezbury,Virginia,Saint Kitts and Nevis
260,Marshall Valley,46,ville,Allentown,Nebraska,Nicaragua
261,Hobbs Ranch,417,furt,West Matthewchester,Mississippi,Netherlands Antilles
262,Stanley Rapids,504,land,Samanthamouth,Indiana,Central African Republic
263,Katherine Unions,854,mouth,New Derrickfort,Louisiana,Nepal
264,Dustin Drive,268,port,Travismouth,New Mexico,Sweden
265,Michael Squares,512,port,Ramireztown,Illinois,Papua New Guinea
266,Carpenter Run,209,fort,West Maria,Tennessee,Comoros
267,Mark Glen,543,view,Derekland,Maryland,Tanzania
268,Rebecca Route,763,land,Lake Brittneyshire,Texas,Sri Lanka
269,Mark Forge,826,shire,Bestside,Utah,Poland
270,Gillespie Centers,500,port,Whitefurt,Illinois,United Arab Emirates
271,Peter Mill,967,furt,North Cassandra,Pennsylvania,Guam
272,Colon Fields,54,land,Marcusshire,Oregon,Tajikistan
273,Andrew Square,511,borough,Lindsayport,Washington,Netherlands Antilles
274,Elizabeth Dam,183,burgh,Port Robert,Pennsylvania,Bulgaria
275,Mckenzie View,274,land,Port Daniel,Arkansas,Burkina Faso
276,Garcia Plain,36,shire,East George,Florida,Sierra Leone
277,Green Isle,742,fort,East Stevenburgh,Nevada,Guinea-Bissau
278,Valerie Bridge,350,fort,North Roberta,Illinois,Finland
279,Jonathan Common,633,ville,South Jenniferside,New Jersey,Canada
280,Anthony Corner,581,bury,East William,Nevada,Guam
281,Joseph Orchard,493,land,North Erik,Kansas,Denmark
282,Cline Ridges,586,view,Danielleburgh,Minnesota,Benin
283,Rose Plain,244,borough,West Stacy,Kansas,Australia
284,Oscar Light,571,land,South Karen,Arizona,France
285,Torres Gardens,822,fort,West Sara,Missouri,Falkland Islands (Malvinas)
286,Alvarado Walks,877,land,Dennischester,Maryland,Antigua and Barbuda
287,Sarah Knolls,949,fort,East Mariahfort,Oklahoma,Micronesia
288,Andrew Squares,941,borough,Port Robertville,South Carolina,Guernsey
289,Daniel Oval,274,fort,Port Heidi,Ohio,Western Sahara
290,Howe Circle,239,mouth,Philiptown,Hawaii,Wallis and Futuna
291,Moreno Parkway,856,stad,New Michael,Louisiana,Oman
292,Davies Stravenue,127,ton,Danielleton,Connecticut,Iceland
293,Brenda Forge,987,view,East Brittany,New Jersey,Philippines
294,Veronica Knolls,753,burgh,New Marcusshire,New Mexico,United States Minor Outlying Islands
295,Bautista River,131,haven,East Angelaberg,Vermont,Oman
296,Tony Forge,295,mouth,Lake Nicoleville,New Hampshire,Vietnam
297,Patterson Keys,279,bury,Shaneborough,North Dakota,Cameroon
298,Connor Forge,893,bury,West Amy,Florida,Australia
299,Dixon Springs,830,ton,East Donald,New Mexico,Solomon Islands
300,Roberts Shoals,431,borough,Lake Williamstad,New Jersey,Nicaragua
301,Wolf Terrace,46,view,Porterbury,Nevada,Zimbabwe
302,Fisher Squares,870,shire,New Michael,Maine,Montserrat
303,Molina Prairie,927,fort,Katieville,California,Eritrea
304,Alexander Camp,837,bury,Carpentershire,Mississippi,Bahamas
305,Amy Garden,958,side,Gregorychester,Pennsylvania,Cyprus
306,Scott Estate,824,borough,South Julia,Wisconsin,Finland
307,Hess Green,281,shire,Blackfort,Indiana,Albania
308,Cook Landing,496,mouth,Port Nicole,Virginia,Uruguay
309,James Shore,318,land,Rachaelhaven,Oregon,Botswana
310,Chris Lake,298,bury,South Daniel,South Dakota,Seychelles
311,Anne Underpass,28,borough,New Dorothy,Illinois,Jordan
312,Eric Lane,727,berg,Lake Steveview,Massachusetts,Jersey
313,Wolfe Fort,465,burgh,Nolanburgh,Washington,Serbia
314,Johnson Ridges,212,bury,East Caseyton,Utah,Pakistan
315,Jamie Parkways,401,view,Beckerborough,Pennsylvania,Dominican Republic
316,Sandy Park,750,mouth,Lake Tonya,Washington,Aruba
317,Erin Pines,567,furt,Jamesstad,Arizona,Colombia
318,Kimberly Ports,311,view,Greenfort,Ohio,Cocos (Keeling) Islands
319,Nguyen Key,27,bury,Lake Lisaside,New Jersey,Mexico
320,Garcia Ports,542,bury,New Suzannehaven,Massachusetts,Korea
321,Knight Brooks,350,mouth,North Darrellton,Arizona,Cuba
322,Angela Via,52,ville,South Alexis,Colorado,American Samoa
323,Atkins Well,126,mouth,South Mikaylabury,New Hampshire,Venezuela
324,Sherri Crescent,596,town,New Travis,New Mexico,Armenia
325,Jenkins Fields,255,ville,Lake Krista,Michigan,Saint Kitts and Nevis
326,Odom Fork,980,stad,Albertshire,Wisconsin,Moldova
327,West Extensions,573,port,Port Walterburgh,Kentucky,Poland
328,Hernandez Villages,159,town,Wilsonchester,Arkansas,Barbados
329,Terri Brook,226,berg,Lake Sheila,Colorado,Guinea
330,Dorothy Mount,462,ville,Caitlinbury,Minnesota,Bahrain
331,Cindy Knolls,276,port,West Michaelbury,Wisconsin,Finland
332,Debra Ramp,903,view,Robertton,Nevada,Ghana
333,Nicole Alley,405,mouth,Lake Chelsea,Florida,Cyprus
334,Kimberly Mountains,245,ton,Lemouth,Maine,Norfolk Island
335,Sylvia Roads,824,mouth,Wilsonborough,Virginia,Madagascar
336,Autumn Station,847,borough,New Adriantown,Illinois,Algeria
337,Brown Crescent,981,land,Masonport,North Carolina,Azerbaijan
338,Brian Ferry,23,land,Jasminehaven,Missouri,Togo
339,Durham Brook,228,chester,North Mariaborough,South Carolina,Dominican Republic
340,Reynolds Stream,302,ville,Mitchellmouth,Maine,Macao
341,Shane Corners,592,berg,Lake Rachel,Florida,Slovenia
342,Anthony Camp,926,burgh,Lake Robertshire,Illinois,Bulgaria
343,Mata Hollow,884,mouth,Port Suzanne,Alaska,Cameroon
344,Patterson Islands,755,fort,Port Brenda,Indiana,Slovenia
345,Bryan Prairie,230,stad,West Angela,Montana,Papua New Guinea
346,Butler Branch,710,ton,Millerfurt,Hawaii,United Arab Emirates
347,Jeffery Station,776,furt,Laurabury,California,Colombia
348,Parks Crossroad,854,side,Mariahaven,Ohio,Saint Pierre and Miquelon
349,Matthew Course,308,bury,Smithport,California,Lebanon
350,Elliott Squares,884,furt,Amyview,North Dakota,Bahamas
351,Dale Summit,621,furt,Alexanderport,Pennsylvania,Myanmar
352,Thomas Brooks,87,ton,Patrickbury,Indiana,Zimbabwe
353,Alicia Neck,323,furt,North Douglasfurt,Missouri,Belarus
354,Jordan Plain,656,burgh,Lake Kristi,Utah,Cape Verde
355,Benjamin Stream,120,town,North Karl,Florida,Malawi
356,Nancy Heights,628,berg,New Mark,Oregon,Algeria
357,Murphy Forges,121,haven,South Michelle,Maryland,Thailand
358,Cox Trace,439,chester,Smithmouth,West Virginia,Swaziland
359,Smith Haven,76,port,Port Meganborough,Oregon,Kuwait
360,Ayala Inlet,238,side,Brianborough,Iowa,Guyana
361,Caroline Island,455,town,Rodriguezbury,Washington,Japan
362,April Vista,393,burgh,East Joseph,Nevada,Turks and Caicos Islands
363,Henson Meadow,363,borough,Richardsborough,Wisconsin,Guam
364,Stacy Fords,201,bury,Markland,Wyoming,Belarus
365,Jeffrey Lakes,34,furt,North Matthew,Michigan,Palestinian Territory
366,Logan Harbors,1,town,Aaronmouth,Arkansas,Jersey
367,Stuart Mountain,129,mouth,West Thomasbury,New Mexico,Sri Lanka
368,Williams Parkway,777,land,East Leahfurt,Kansas,Egypt
369,Timothy Way,403,borough,Oconnorstad,New Jersey,Paraguay
370,Bean Mountains,372,stad,Nelsonborough,North Carolina,Antarctica (the territory South of 60 deg S)
371,Daniels Locks,490,port,Lake Brian,Montana,Sierra Leone
372,Davidson Cliff,831,chester,New Benjamin,Nevada,Saint Helena
373,Bailey Mews,66,bury,South Douglas,Mississippi,Armenia
374,Dawson Meadows,383,mouth,Jacobfort,Florida,Rwanda
375,Christopher Loop,720,town,Port Gregoryport,Iowa,Monaco
376,Everett Fields,159,stad,Michelletown,Kansas,Brazil
377,Morris Lights,292,mouth,Mercermouth,New Mexico,Antarctica (the territory South of 60 deg S)
378,Amy Spring,977,town,New John,Maine,Algeria
379,Casey Harbor,219,stad,South Kimberly,Mississippi,Uganda
380,Murray Mission,356,stad,New Raymondstad,Rhode Island,Cuba
381,Elizabeth Plaza,860,side,Stevensburgh,Connecticut,Anguilla
382,Lawrence Green,733,haven,Pearsontown,Wisconsin,Lithuania
383,Tran Key,699,shire,Kennethhaven,South Dakota,El Salvador
384,Wesley Ramp,750,ton,Port Teresafort,Rhode Island,Tanzania
385,Perez Extensions,376,shire,East Jacobchester,California,Mali
386,Katherine Drive,194,port,Hawkinsmouth,Kentucky,Qatar
387,Michelle Parkways,485,mouth,North James,Ohio,Andorra
388,Charles Keys,652,port,West Kimberlyview,Rhode Island,Lithuania
389,Christopher Crossing,813,view,South Raymondtown,Virginia,Serbia
390,Desiree Landing,501,view,Lake Dustin,Kansas,Montenegro
391,Wright Lights,558,haven,Johntown,North Dakota,Jersey
392,Barnes Neck,409,mouth,North Davidborough,Alabama,Mali
393,Smith Flats,383,berg,Tannerview,South Carolina,Spain
394,Kim Dale,87,chester,North Darren,Mississippi,Colombia
395,Ashley Isle,989,ville,Davidhaven,Louisiana,Jordan
396,Good Loop,952,ton,South Stephen,Arkansas,Turkey
397,Nelson River,261,view,New Benjamin,Ohio,Mexico
398,Palmer Haven,165,side,Linport,Washington,Indonesia
399,Moody View,729,berg,Robertmouth,Vermont,Dominica
400,Kelly Branch,927,port,Daltonmouth,Indiana,Latvia
401,Janet Inlet,947,side,South Jorge,Tennessee,Saint Martin
402,Green Drive,297,berg,East Mary,West Virginia,United Arab Emirates
403,Rice Glen,371,mouth,New Michael,Vermont,Tokelau
404,Charles Branch,308,borough,New Nicholas,Montana,Nicaragua
405,Reed Grove,95,fort,Lake Gary,Louisiana,Svalbard & Jan Mayen Islands
406,Aaron Mountains,824,borough,Jenniferland,Maryland,Brazil
407,Harrison Divide,817,ton,Gomezstad,Arizona,Comoros
408,Stafford Mews,463,fort,Santosfort,Arkansas,Svalbard & Jan Mayen Islands
409,Larry Trail,505,shire,Lake Benjamin,North Carolina,Sao Tome and Principe
410,Jones Ford,714,furt,South Collinland,Connecticut,Macao
411,Martin Mountains,937,port,Port Kimberly,Massachusetts,Andorra
412,Diana Stravenue,676,side,West Victorbury,Delaware,Ukraine
413,Christopher Village,726,shire,West Randy,Arizona,Bhutan
414,Solomon Mount,171,land,Millerchester,Oklahoma,Turkey
415,Tracey Mountains,121,view,South Jenniferside,West Virginia,Netherlands
416,David Plain,921,haven,Herreraview,New Hampshire,Norfolk Island
417,Jill Locks,333,side,Johnsonland,North Carolina,Lesotho
